|time |ARegister|DRegister|PC[]|RAM16K[0]|RAM16K[1]|RAM16K[2]|
| 0   |       0 |       0 |   0|       4 |       0 |       0 |
| 1   |       0 |       0 |   1|       4 |       0 |       0 |
| 2   |       0 |       4 |   2|       4 |       0 |       0 |
| 3   |      23 |       0 |   3|       4 |       0 |       0 |
| 4   |      23 |       0 |  23|       4 |       0 |       0 |
| 5   |      23 |       0 |  24|       4 |       0 |       0 |
| 6   |      23 |       0 |  23|       4 |       0 |       0 |
| 7   |      23 |       0 |  24|       4 |       0 |       0 |
| 8   |      23 |       0 |  23|       4 |       0 |       0 |
| 9   |      23 |       0 |  24|       4 |       0 |       0 |
| 10  |      23 |       0 |  23|       4 |       0 |       0 |
| 11  |      23 |       0 |  24|       4 |       0 |       0 |
| 12  |      23 |       0 |  23|       4 |       0 |       0 |
| 13  |      23 |       0 |  24|       4 |       0 |       0 |
| 14  |      23 |       0 |  23|       4 |       0 |       0 |
| 15  |      23 |       0 |  24|       4 |       0 |       0 |
| 16  |      23 |       0 |  23|       4 |       0 |       0 |
| 17  |      23 |       0 |  24|       4 |       0 |       0 |
| 18  |      23 |       0 |  23|       4 |       0 |       0 |
| 19  |      23 |       0 |  24|       4 |       0 |       0 |
| 20  |      23 |       0 |  23|       4 |       0 |       0 |
| 21  |      23 |       0 |  24|       4 |       0 |       0 |
| 22  |      23 |       0 |  23|       4 |       0 |       0 |
| 23  |      23 |       0 |  24|       4 |       0 |       0 |
| 24  |      23 |       0 |  23|       4 |       0 |       0 |
| 25  |      23 |       0 |  24|       4 |       0 |       0 |
| 26  |      23 |       0 |  23|       4 |       0 |       0 |
| 27  |      23 |       0 |  24|       4 |       0 |       0 |
| 28  |      23 |       0 |  23|       4 |       0 |       0 |
| 29  |      23 |       0 |  24|       4 |       0 |       0 |
| 30  |      23 |       0 |  23|       4 |       0 |       0 |
| 31  |      23 |       0 |  24|       4 |       0 |       0 |
| 32  |      23 |       0 |  23|       4 |       0 |       0 |
| 33  |      23 |       0 |  24|       4 |       0 |       0 |
| 34  |      23 |       0 |  23|       4 |       0 |       0 |
| 35  |      23 |       0 |  24|       4 |       0 |       0 |
| 36  |      23 |       0 |  23|       4 |       0 |       0 |
| 37  |      23 |       0 |  24|       4 |       0 |       0 |
| 38  |      23 |       0 |  23|       4 |       0 |       0 |
| 39  |      23 |       0 |  24|       4 |       0 |       0 |
| 40  |      23 |       0 |  23|       4 |       0 |       0 |
| 41  |      23 |       0 |  24|       4 |       0 |       0 |
| 42  |      23 |       0 |  23|       4 |       0 |       0 |
| 43  |      23 |       0 |  24|       4 |       0 |       0 |
| 44  |      23 |       0 |  23|       4 |       0 |       0 |
| 45  |      23 |       0 |  24|       4 |       0 |       0 |
| 46  |      23 |       0 |  23|       4 |       0 |       0 |
| 47  |      23 |       0 |  24|       4 |       0 |       0 |
| 48  |      23 |       0 |  23|       4 |       0 |       0 |
| 49  |      23 |       0 |  24|       4 |       0 |       0 |
| 50  |      23 |       0 |  23|       4 |       0 |       0 |
| 51  |      23 |       0 |  24|       4 |       0 |       0 |
| 52  |      23 |       0 |  23|       4 |       0 |       0 |
| 53  |      23 |       0 |  24|       4 |       0 |       0 |
| 54  |      23 |       0 |  23|       4 |       0 |       0 |
| 55  |      23 |       0 |  24|       4 |       0 |       0 |
| 56  |      23 |       0 |  23|       4 |       0 |       0 |
| 57  |      23 |       0 |  24|       4 |       0 |       0 |
